timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601652603436,875,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,48917,2358,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,1
1601652604256,9,click_guestbook_2,200,,UC_02_sendComment 1-3,text,true,,7794,344,10,11,http://localhost:8080/service/guestbook,,9,UTF-8,1,0,home-pc,0,0
1601652604266,35,create_COMMENT_1,200,,UC_02_sendComment 1-3,text,true,,274,654,10,11,http://localhost:8080/service/guestbook,,35,UTF-8,1,0,home-pc,0,0
1601652604219,13,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,10,11,http://localhost:8080/,,13,utf-8,1,0,home-pc,0,0
1601652604301,6,create_COMMENT_2,200,,UC_02_sendComment 1-3,text,true,,7930,318,10,11,http://localhost:8080/service/guestbook,,6,UTF-8,1,0,home-pc,0,0
1601652604233,10,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,10,utf-8,1,0,home-pc,0,0
1601652604244,10,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,10,utf-8,1,0,home-pc,0,0
1601652604255,10,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,7794,344,10,11,http://localhost:8080/service/guestbook,,10,UTF-8,1,0,home-pc,0,0
1601652604266,37,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,293,546,10,11,http://localhost:8080/service/guestbook,,37,UTF-8,1,0,home-pc,0,0
1601652604303,8,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,7930,318,10,11,http://localhost:8080/service/guestbook,,7,UTF-8,1,0,home-pc,0,1
1601652604338,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,12,0
1601652604350,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,9,0
1601652604359,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652604372,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,10,0
1601652604338,43,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-3,,true,,49117,2430,10,11,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652604339,10,connect_to_server,200,,UC_02_sendComment 1-3,text,true,,22653,355,10,11,http://localhost:8080/,,10,utf-8,1,0,home-pc,0,0
1601652604350,8,click_clients,200,,UC_02_sendComment 1-3,text,true,,6135,400,10,11,http://localhost:8080/clients.html,,8,utf-8,1,0,home-pc,0,0
1601652604359,8,click_guestbook_1,200,,UC_02_sendComment 1-3,text,true,,4112,395,10,11,http://localhost:8080/guestbook.html,,7,utf-8,1,0,home-pc,0,0
1601652604367,5,click_guestbook_2,200,,UC_02_sendComment 1-3,text,true,,7930,344,10,11,http://localhost:8080/service/guestbook,,5,UTF-8,1,0,home-pc,0,0
1601652604373,4,create_COMMENT_1,200,,UC_02_sendComment 1-3,text,true,,274,618,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652604377,4,create_COMMENT_2,200,,UC_02_sendComment 1-3,text,true,,8013,318,10,11,http://localhost:8080/service/guestbook,,4,UTF-8,1,0,home-pc,0,0
1601652602616,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,1937,0
1601652603838,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,716,0
1601652604553,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,14,0
1601652604554,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652604567,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,19,0
1601652604567,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,20,0
1601652604587,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,11,0
